"Megye kód";"KSH kód";Megye;Település;"Település típusa";"Állandó férfi lakosság összesen";"Állandó női lakosság összesen"
5;05926;BOR;Bódvaszilas;község;484;541
5;25195;BOR;Bogács;község;1 000;1 102
5;18944;BOR;Boldogkőújfalu;község;326;336
5;14474;BOR;Boldogkőváralja;község;490;506
5;08396;BOR;Boldva;község;1 233;1 168
5;30669;BOR;Borsodbóta;község;402;417
5;16124;BOR;Borsodgeszt;község;135;144
5;06707;BOR;Borsodivánka;község;311;336
5;30207;BOR;Borsodszentgyörgy;község;562;595
5;16799;BOR;Borsodszirák;község;615;616
5;31006;BOR;Bózsva;község;106;103
5;05306;BOR;Bőcs;község;1 362;1 398
5;13596;BOR;Bükkábrány;község;764;872
5;27890;BOR;Bükkaranyos;község;758;798
5;19406;BOR;Bükkmogyorósd;község;62;66
5;08022;BOR;Bükkszentkereszt;község;591;575
5;32887;BOR;Bükkzsérc;község;458;517
5;23977;BOR;Büttös;község;83;85
5;08493;BOR;Csenyéte;község;287;270
5;06974;BOR;Cserépfalu;község;469;519
5;25575;BOR;Cserépváralja;község;183;189
5;28459;BOR;Csernely;község;398;357
5;34111;BOR;Csincse;község;265;278
5;05333;BOR;Csobád;község;340;346
5;20774;BOR;Csobaj;község;338;324
5;14289;BOR;Csokvaomány;község;407;391
5;11350;BOR;Damak;község;123;119
5;07719;BOR;Dámóc;község;185;174
5;31954;BOR;Debréte;község;8;5
5;04686;BOR;Dédestapolcsány;község;668;718
5;10524;BOR;Detek;község;129;123
5;25690;BOR;Domaháza;község;434;429
5;06123;BOR;Dövény;község;119;141
5;27669;BOR;Dubicsány;község;137;138
5;05865;BOR;Egerlövő;község;264;258
5;13356;BOR;Égerszög;község;25;29
5;25326;BOR;Erdőbénye;község;542;545
5;22503;BOR;Erdőhorváti;község;291;282
5;02741;BOR;Fáj;község;262;240
5;12557;BOR;Fancsal;község;179;178
5;34272;BOR;Farkaslyuk;község;962;965
5;08174;BOR;Felsőberecki;község;140;123
5;09742;BOR;Felsődobsza;község;430;490
5;29708;BOR;Felsőgagy;község;122;115
5;31723;BOR;Felsőkelecsény;község;193;191
5;32762;BOR;Felsőnyárád;község;483;522
5;07588;BOR;Felsőregmec;község;183;195
5;31671;BOR;Felsőtelekes;község;341;351
5;23533;BOR;Felsővadász;község;319;265
5;25238;BOR;Filkeháza;község;47;48
5;17932;BOR;Fony;község;174;161
5;30483;BOR;Forró;község;1 329;1 387
5;22123;BOR;Fulókércs;község;219;219
5;17109;BOR;Füzér;község;176;196
5;06460;BOR;Füzérkajata;község;64;58
5;11378;BOR;Füzérkomlós;község;163;149
5;10366;BOR;Füzérradvány;község;163;155
5;05494;BOR;Gadna;község;179;156
5;28732;BOR;Gagyapáti;község;22;21
5;28307;BOR;Gagybátor;község;111;112
5;03744;BOR;Gagyvendégi;község;104;101
5;19293;BOR;Galvács;község;47;44
5;10904;BOR;Garadna;község;186;182
5;23719;BOR;Gelej;község;292;282
5;15608;BOR;Gesztely;község;1 357;1 386
5;20969;BOR;Gibárt;község;175;197
5;21564;BOR;Girincs;község;438;455
5;13134;BOR;Golop;község;283;303
5;09706;BOR;Gömörszőlős;község;41;38
5;18643;BOR;Göncruszka;község;366;362
5;05069;BOR;Györgytarló;község;289;274
5;27942;BOR;Halmaj;község;787;832
5;11226;BOR;Hangács;község;296;288
5;25104;BOR;Hangony;község;757;774
5;12706;BOR;Háromhuta;község;59;77
5;05847;BOR;Harsány;község;1 001;1 008
5;02468;BOR;Hegymeg;község;55;63
5;22187;BOR;Hejce;község;138;123
5;06655;BOR;Hejőbába;község;982;947
5;04604;BOR;Hejőkeresztúr;község;540;518
5;02282;BOR;Hejőkürt;község;144;136
5;16780;BOR;Hejőpapi;község;567;544
5;12159;BOR;Hejőszalonta;község;416;401
5;30137;BOR;Hercegkút;község;322;357
5;15839;BOR;Hernádbűd;község;58;70
5;09399;BOR;Hernádcéce;község;129;140
5;24165;BOR;Hernádkak;község;842;813
5;21829;BOR;Hernádkércs;község;156;156
5;31200;BOR;Hernádnémeti;község;1 816;1 815
5;24882;BOR;Hernádpetri;község;125;130
5;17136;BOR;Hernádszentandrás;község;207;224
5;24970;BOR;Hernádszurdok;község;109;103
5;19840;BOR;Hernádvécse;község;568;537
5;08004;BOR;Hét;község;240;225
5;11697;BOR;Hidasnémeti;község;578;585
5;25672;BOR;Hidvégardó;község;274;288
5;31167;BOR;Hollóháza;község;416;458
5;21236;BOR;Homrogd;község;478;443
5;25399;BOR;Igrici;község;583;614
5;16577;BOR;Imola;község;51;50
5;08086;BOR;Ináncs;község;578;582
5;05005;BOR;Irota;község;36;49
5;20233;BOR;Jákfalva;község;276;251
5;26657;BOR;Járdánháza;község;845;936
5;15680;BOR;Jósvafő;község;116;138
5;32993;BOR;Kács;község;242;254
5;07764;BOR;Kánó;község;71;83
5;25742;BOR;Kány;község;34;31
5;21218;BOR;Karcsa;község;910;861
5;30508;BOR;Karos;község;253;257
5;13374;BOR;Kázsmárk;község;513;502
5;15264;BOR;Kéked;község;141;140
5;12034;BOR;Kelemér;község;241;227
5;05458;BOR;Kenézlő;község;586;569
5;17066;BOR;Keresztéte;község;17;10
5;29249;BOR;Kesznyéten;község;939;925
5;32090;BOR;Királd;község;346;381
5;17349;BOR;Kiscsécs;község;97;97
5;22840;BOR;Kisgyőr;község;802;866
5;28875;BOR;Kishuta;község;144;148
5;03762;BOR;Kiskinizs;község;163;160
5;11448;BOR;Kisrozvágy;község;113;127
5;14702;BOR;Kissikátor;község;143;167
5;12399;BOR;Kistokaj;község;1 178;1 202
5;10612;BOR;Komjáti;község;96;110
5;16559;BOR;Komlóska;község;140;132
5;32498;BOR;Kondó;község;296;298
5;22956;BOR;Korlát;község;142;143
5;28547;BOR;Kovácsvágás;község;319;323
5;26602;BOR;Köröm;község;785;761
5;19576;BOR;Krasznokvajda;község;265;249
5;18722;BOR;Kupa;község;79;84
5;11819;BOR;Kurityán;község;742;762
5;20844;BOR;Lácacséke;község;166;157
5;26231;BOR;Ládbesenyő;község;150;139
5;15857;BOR;Lak;község;332;343
5;11660;BOR;Legyesbénye;község;730;719
5;03531;BOR;Léh;község;226;228
5;07038;BOR;Lénárddaróc;község;118;148
5;28219;BOR;Litka;község;25;20
5;03902;BOR;Mád;község;952;1 062
5;19600;BOR;Makkoshotyka;község;411;425
5;27395;BOR;Mályi;község;2 198;2 152
5;14915;BOR;Mályinka;község;242;230
5;02024;BOR;Martonyi;község;161;196
5;21768;BOR;Megyaszó;község;1 344;1 351
5;25618;BOR;Méra;község;825;807
5;11758;BOR;Meszes;község;85;86
5;18379;BOR;Mezőnagymihály;község;486;515
5;11749;BOR;Mezőnyárád;község;787;851
5;03443;BOR;Mezőzombor;község;1 154;1 189
5;24253;BOR;Mikóháza;község;264;284
5;10968;BOR;Mogyoróska;község;47;55
5;09016;BOR;Monaj;község;130;123
5;07825;BOR;Monok;község;754;762
5;02158;BOR;Muhi;község;254;243
5;29188;BOR;Nagybarca;község;430;439
5;05582;BOR;Nagycsécs;község;427;407
5;15468;BOR;Nagyhuta;község;46;43
5;26505;BOR;Nagykinizs;község;164;159
5;33181;BOR;Nagyrozvágy;község;319;341
5;24156;BOR;Négyes;község;144;147
5;28033;BOR;Nekézseny;község;322;321
5;05245;BOR;Nemesbikk;község;446;478
5;27191;BOR;Novajidrány;község;644;658
5;04419;BOR;Nyésta;község;34;20
5;26435;BOR;Nyíri;község;216;206
5;04215;BOR;Nyomár;község;143;151
5;31778;BOR;Olaszliszka;község;765;827
5;22628;BOR;Ónod;község;1 212;1 153
5;34069;BOR;Ormosbánya;község;759;812
5;02866;BOR;Oszlár;község;167;179
5;15893;BOR;Pácin;község;756;731
5;12371;BOR;Pamlény;község;26;26
5;24730;BOR;Pányok;község;54;51
5;26745;BOR;Parasznya;község;591;595
5;24420;BOR;Pere;község;170;159
5;32683;BOR;Perecse;község;8;9
5;33419;BOR;Perkupa;község;417;390
5;21272;BOR;Prügy;község;1 252;1 268
5;17048;BOR;Pusztafalu;község;109;100
5;15413;BOR;Pusztaradvány;község;109;100
5;21193;BOR;Radostyán;község;278;296
5;06053;BOR;Ragály;község;304;320
5;29717;BOR;Rakaca;község;471;443
5;16133;BOR;Rakacaszend;község;154;159
5;31909;BOR;Rásonysápberencs;község;258;264
5;12469;BOR;Rátka;község;460;484
5;08402;BOR;Regéc;község;39;45
5;31884;BOR;Répáshuta;község;193;245
5;09317;BOR;Révleányvár;község;223;219
5;34120;BOR;Rudolftelep;község;361;384
5;27331;BOR;Sajóecseg;község;517;549
5;10171;BOR;Sajógalgóc;község;180;156
5;03081;BOR;Sajóhídvég;község;550;592
5;03212;BOR;Sajóivánka;község;325;328
5;21670;BOR;Sajókápolna;község;202;201
5;14313;BOR;Sajókaza;község;1 587;1 542
5;26949;BOR;Sajókeresztúr;község;770;798
5;27173;BOR;Sajólád;község;1 493;1 550
5;22479;BOR;Sajólászlófalva;község;211;223
5;15945;BOR;Sajómercse;község;101;116
5;11332;BOR;Sajónémeti;község;221;242
5;08129;BOR;Sajóörös;község;773;799
5;18537;BOR;Sajópálfala;község;358;364
5;16638;BOR;Sajópetri;község;734;811
5;23782;BOR;Sajópüspöki;község;252;276
5;08970;BOR;Sajósenye;község;217;181
5;30340;BOR;Sajószöged;község;1 244;1 177
5;20738;BOR;Sajóvámos;község;1 000;1 103
5;27757;BOR;Sajóvelezd;község;369;417
5;04729;BOR;Sály;község;807;878
5;20516;BOR;Sárazsadány;község;124;117
5;02875;BOR;Sáta;község;526;611
5;25380;BOR;Selyeb;község;236;254
5;23755;BOR;Semjén;község;297;242
5;32531;BOR;Serényfalva;község;498;492
5;23418;BOR;Sima;község;25;17
5;13268;BOR;Sóstófalva;község;130;124
5;32258;BOR;Szakácsi;község;107;87
5;03805;BOR;Szakáld;község;232;234
5;31015;BOR;Szalaszend;község;547;518
5;16753;BOR;Szalonna;község;506;503
5;08147;BOR;Szászfa;község;56;59
5;33817;BOR;Szegi;község;149;149
5;31510;BOR;Szegilong;község;109;134
5;09830;BOR;Szemere;község;208;196
5;27456;BOR;Szendrőlád;község;1 094;1 140
5;08484;BOR;Szentistvánbaksa;község;138;146
5;20871;BOR;Szin;község;435;395
5;11493;BOR;Szinpetri;község;105;103
5;18892;BOR;Szomolya;község;760;824
5;16179;BOR;Szögliget;község;294;312
5;07889;BOR;Szőlősardó;község;48;59
5;03160;BOR;Szuhafő;község;66;62
5;11110;BOR;Szuhakálló;község;478;523
5;24606;BOR;Szuhogy;község;546;532
5;03708;BOR;Taktabáj;község;295;304
5;28787;BOR;Taktakenéz;község;603;617
5;03133;BOR;Taktaszada;község;936;975
5;12210;BOR;Tállya;község;834;906
5;21740;BOR;Tarcal;község;1 281;1 508
5;08165;BOR;Tard;község;535;597
5;14784;BOR;Tardona;község;500;518
5;13763;BOR;Telkibánya;község;308;331
5;28635;BOR;Teresztenye;község;18;16
5;30447;BOR;Tibolddaróc;község;675;647
5;02291;BOR;Tiszabábolna;község;165;159
5;29133;BOR;Tiszacsermely;község;266;238
5;03717;BOR;Tiszadorogma;község;195;185
5;13976;BOR;Tiszakarád;község;1 218;1 194
5;13888;BOR;Tiszakeszi;község;1 274;1 296
5;19381;BOR;Tiszaladány;község;279;306
5;08633;BOR;Tiszapalkonya;község;725;702
5;30298;BOR;Tiszatardos;község;128;106
5;30377;BOR;Tiszatarján;község;714;694
5;10977;BOR;Tiszavalk;község;159;147
5;28051;BOR;Tolcsva;község;837;850
5;14890;BOR;Tomor;község;126;107
5;16902;BOR;Tornabarakony;község;19;14
5;10375;BOR;Tornakápolna;község;11;11
5;18801;BOR;Tornanádaska;község;411;376
5;27836;BOR;Tornaszentandrás;község;82;91
5;30517;BOR;Tornaszentjakab;község;95;100
5;29054;BOR;Tornyosnémeti;község;334;286
5;04914;BOR;Trizs;község;95;105
5;12487;BOR;Újcsanálos;község;456;422
5;18351;BOR;Uppony;község;129;153
5;07223;BOR;Vadna;község;310;338
5;29151;BOR;Vágáshuta;község;58;55
5;30003;BOR;Vajdácska;község;630;658
5;15149;BOR;Vámosújfalu;község;358;370
5;21810;BOR;Varbó;község;540;581
5;10144;BOR;Varbóc;község;33;24
5;30076;BOR;Vatta;község;445;416
5;11581;BOR;Vilmány;község;746;731
5;12982;BOR;Vilyvitány;község;135;143
5;05096;BOR;Viss;község;297;294
5;03957;BOR;Viszló;község;35;35
5;21087;BOR;Vizsoly;község;469;454
5;03063;BOR;Zádorfalva;község;214;267
5;15617;BOR;Zalkod;község;106;105
5;31608;BOR;Zemplénagárd;község;382;341
5;19275;BOR;Ziliz;község;198;209
5;11022;BOR;Zsujta;község;90;96
5;19105;BOR;Zubogy;község;252;242
6;33367;CSO;Szeged;megye székhely;74 592;84 503
6;08314;CSO;Hódmezővásárhely;megyei jogú város;21 044;22 500
6;05379;CSO;Csanádpalota;város;1 396;1 411
6;05111;CSO;Csongrád;város;7 737;8 426
6;31024;CSO;Kistelek;város;3 451;3 811
6;07357;CSO;Makó;város;10 946;11 950
6;21555;CSO;Mindszent;város;3 293;3 428
6;04349;CSO;Mórahalom;város;3 152;3 381
6;31705;CSO;Sándorfalva;város;4 234;4 305
6;14456;CSO;Szentes;város;12 567;13 773
6;34245;CSO;Algyő;nagyközség;2 723;2 857
6;17233;CSO;Nagymágocs;nagyközség;1 438;1 439
6;32489;CSO;Szegvár;nagyközség;2 122;2 186
6;16197;CSO;Ambrózfalva;község;237;242
6;14252;CSO;Apátfalva;község;1 474;1 521
6;19062;CSO;Árpádhalom;község;238;209
6;10339;CSO;Ásotthalom;község;1 968;2 025
6;29106;CSO;Baks;község;964;1 027
6;23676;CSO;Balástya;község;1 740;1 734
6;08192;CSO;Bordány;község;1 687;1 641
6;02121;CSO;Csanádalberti;község;222;240
6;22293;CSO;Csanytelek;község;1 280;1 345
6;32285;CSO;Csengele;község;964;946
6;07834;CSO;Derekegyház;község;748;780
6;24077;CSO;Deszk;község;2 004;2 000
6;30535;CSO;Dóc;község;366;370
6;13383;CSO;Domaszék;község;2 631;2 530
6;22992;CSO;Eperjes;község;210;224
6;19974;CSO;Fábiánsebestyén;község;947;940
6;22646;CSO;Felgyő;község;574;591
6;18999;CSO;Ferencszállás;község;331;315
6;33020;CSO;Forráskút;község;1 012;1 052
6;09210;CSO;Földeák;község;1 505;1 533
6;13666;CSO;Királyhegyes;község;297;310
6;26666;CSO;Kiszombor;község;1 916;1 942
6;08253;CSO;Klárafalva;község;275;261
6;09955;CSO;Kövegy;község;181;185
6;14410;CSO;Kübekháza;község;776;830
6;05962;CSO;Magyarcsanád;község;705;694
6;10515;CSO;Maroslele;község;1 026;1 083
6;25733;CSO;Mártély;község;663;651
6;20914;CSO;Nagyér;község;256;254
6;12779;CSO;Nagylak;község;230;226
6;29179;CSO;Nagytőke;község;205;183
6;07755;CSO;Óföldeák;község;206;259
6;12797;CSO;Ópusztaszer;község;1 056;1 046
6;31079;CSO;Öttömös;község;347;339
6;06284;CSO;Pitvaros;község;653;670
6;06354;CSO;Pusztamérges;község;541;576
6;28592;CSO;Pusztaszer;község;707;689
6;13161;CSO;Röszke;község;1 891;1 752
6;03966;CSO;Ruzsa;község;1 248;1 250
6;12007;CSO;Szatymaz;község;2 602;2 580
6;12265;CSO;Székkutas;község;1 052;990
6;16966;CSO;Tiszasziget;község;941;920
6;25900;CSO;Tömörkény;község;822;894
6;14924;CSO;Újszentiván;község;1 064;1 020
6;21412;CSO;Üllés;község;1 541;1 580
6;05546;CSO;Zákányszék;község;1 470;1 450
6;17765;CSO;Zsombó;község;1 778;1 760
7;14827;FEJ;Székesfehérvár;megye székhely;44 013;49 824
7;03115;FEJ;Dunaújváros;megyei jogú város;20 040;22 511
7;17376;FEJ;Aba;város;2 324;2 324
7;08925;FEJ;Adony;város;2 050;2 106
7;10481;FEJ;Bicske;város;6 218;6 220
7;18254;FEJ;Bodajk;város;1 966;2 024
7;20002;FEJ;Csákvár;város;2 595;2 829
7;02802;FEJ;Enying;város;3 283;3 399
7;23603;FEJ;Ercsi;város;4 240;4 237
7;10296;FEJ;Gárdony;város;6 024;6 391
7;04659;FEJ;Martonvásár;város;2 828;2 996
7;18485;FEJ;Mór;város;6 591;7 044
7;17525;FEJ;Polgárdi;város;3 366;3 521
7;29018;FEJ;Pusztaszabolcs;város;3 017;3 066
7;09900;FEJ;Rácalmás;város;2 531;2 462
7;23694;FEJ;Sárbogárd;város;5 803;6 171
7;25016;FEJ;Velence;város;3 519;3 608
7;13152;FEJ;Cece;nagyközség;1 286;1 312
7;20358;FEJ;Előszállás;nagyközség;1 173;1 177
7;07506;FEJ;Lajoskomárom;nagyközség;1 081;1 071
7;07269;FEJ;Lepsény;nagyközség;1 538;1 603
7;17552;FEJ;Mezőfalva;nagyközség;2 406;2 352
7;19354;FEJ;Perkáta;nagyközség;2 061;2 079
7;25140;FEJ;Sárosd;nagyközség;1 654;1 646
7;20206;FEJ;Seregélyes;nagyközség;2 212;2 294
7;33321;FEJ;Soponya;nagyközség;922;919
7;28705;FEJ;Szabadbattyán;nagyközség;2 464;2 373
7;26824;FEJ;Alap;község;962;978
7;15176;FEJ;Alcsútdoboz;község;764;757
7;25283;FEJ;Alsószentiván;község;284;277
7;08730;FEJ;Bakonycsernye;község;1 544;1 586
7;23153;FEJ;Bakonykúti;község;85;88
7;31103;FEJ;Balinka;község;485;481
7;07047;FEJ;Baracs;község;1 892;1 786
7;08581;FEJ;Baracska;község;1 460;1 437
7;08466;FEJ;Beloiannisz;község;570;556
7;16346;FEJ;Besnyő;község;902;920
7;11624;FEJ;Bodmér;község;129;129
7;30544;FEJ;Csabdi;község;637;648
7;05360;FEJ;Csákberény;község;590;608
7;21908;FEJ;Csókakő;község;750;801
7;09779;FEJ;Csór;község;994;962
7;06734;FEJ;Csősz;község;529;510
7;34342;FEJ;Daruszentmiklós;község;646;642
7;32753;FEJ;Dég;község;1 027;1 120
7;02316;FEJ;Etyek;község;2 252;2 307
7;32203;FEJ;Fehérvárcsurgó;község;1 039;1 095
7;29939;FEJ;Felcsút;község;987;949
7;06114;FEJ;Füle;község;447;438
7;15750;FEJ;Gánt;község;421;356
7;15918;FEJ;Gyúró;község;683;661
7;23427;FEJ;Hantos;község;475;482
7;17738;FEJ;Igar;község;442;417
7;32018;FEJ;Iszkaszentgyörgy;község;1 146;1 151
7;02200;FEJ;Isztimér;község;475;460
7;13462;FEJ;Iváncsa;község;1 414;1 428
7;15972;FEJ;Jenő;község;605;696
7;21342;FEJ;Kajászó;község;605;595
7;16683;FEJ;Káloz;község;1 155;1 244
7;21926;FEJ;Kápolnásnyék;község;2 005;2 089
7;02343;FEJ;Kincsesbánya;község;749;801
7;12636;FEJ;Kisapostag;község;776;754
7;28990;FEJ;Kisláng;község;1 286;1 263
7;30650;FEJ;Kőszárhegy;község;821;834
7;34209;FEJ;Kulcs;község;1 853;1 754
7;19114;FEJ;Lovasberény;község;1 337;1 356
7;27678;FEJ;Magyaralmás;község;841;833
7;23490;FEJ;Mány;község;1 280;1 248
7;16948;FEJ;Mátyásdomb;község;402;365
7;05689;FEJ;Mezőkomárom;község;472;450
7;06576;FEJ;Mezőszentgyörgy;község;688;657
7;29036;FEJ;Mezőszilas;község;997;1 116
7;25715;FEJ;Moha;község;288;270
7;27599;FEJ;Nadap;község;367;378
7;13903;FEJ;Nádasdladány;község;924;899
7;07001;FEJ;Nagykarácsony;község;726;663
7;32364;FEJ;Nagylók;község;504;531
7;23588;FEJ;Nagyveleg;község;314;326
7;26134;FEJ;Nagyvenyim;község;2 155;2 129
7;34306;FEJ;Óbarok;község;445;396
7;25751;FEJ;Pákozd;község;1 859;1 829
7;28848;FEJ;Pátka;község;908;906
7;21786;FEJ;Pázmánd;község;1 184;1 155
7;17774;FEJ;Pusztavám;község;1 264;1 317
7;02015;FEJ;Ráckeresztúr;község;1 806;1 777
7;02723;FEJ;Sáregres;község;382;352
7;31802;FEJ;Sárkeresztes;község;774;791
7;25344;FEJ;Sárkeresztúr;község;1 308;1 354
7;02699;FEJ;Sárkeszi;község;305;297
7;31538;FEJ;Sárszentágota;község;674;680
7;11776;FEJ;Sárszentmihály;község;1 611;1 562
7;02893;FEJ;Söréd;község;273;268
7;14951;FEJ;Sukoró;község;981;967
7;13259;FEJ;Szabadegyháza;község;1 032;1 035
7;18740;FEJ;Szabadhídvég;község;431;420
7;19549;FEJ;Szár;község;867;886
7;14465;FEJ;Tabajd;község;507;531
7;29267;FEJ;Tác;község;891;900
7;21005;FEJ;Tordas;község;1 125;1 099
7;17482;FEJ;Újbarok;község;252;227
7;17622;FEJ;Úrhida;község;1 384;1 330
7;02459;FEJ;Vajta;község;424;446
7;05829;FEJ;Vál;község;1 334;1 353
7;03498;FEJ;Vereb;község;401;426
7;02750;FEJ;Vértesacsa;község;935;947
7;13897;FEJ;Vértesboglár;község;447;453
7;30243;FEJ;Zámoly;község;1 225;1 198
7;34263;FEJ;Zichyújfalu;község;489;432
8;25584;GYO;Győr;megye székhely;58 189;64 427
8;08518;GYO;Sopron;megyei jogú város;27 093;30 029
8;10588;GYO;Beled;város;1 260;1 298
8;04039;GYO;Csorna;város;4 712;4 970
8;09885;GYO;Fertőd;város;1 607;1 705
8;15343;GYO;Fertőszentmiklós;város;1 880;2 048
8;29221;GYO;Jánossomorja;város;3 057;3 068
8;28334;GYO;Kapuvár;város;4 785;5 159
8;33668;GYO;Lébény;város;1 669;1 682
8;04783;GYO;Mosonmagyaróvár;város;15 526;16 632
8;24305;GYO;Pannonhalma;város;1 784;1 787
8;19035;GYO;Tét;város;2 090;2 096
8;15501;GYO;Bősárkány;nagyközség;1 096;1 082
8;17905;GYO;Hegyeshalom;nagyközség;1 966;2 041
8;02495;GYO;Nagycenk;nagyközség;1 249;1 318
8;08536;GYO;Szany;nagyközség;1 090;1 067
8;11882;GYO;Abda;község;1 684;1 693
8;33385;GYO;Acsalag;község;261;243
8;04880;GYO;Ágfalva;község;1 196;1 172
8;29407;GYO;Agyagosszergény;község;483;476
8;32249;GYO;Árpás;község;143;125
8;26921;GYO;Ásványráró;község;1 096;1 061
8;15042;GYO;Babót;község;563;543
8;28769;GYO;Bágyogszovát;község;687;676
8;28936;GYO;Bakonygyirót;község;90;88
8;22062;GYO;Bakonypéterd;község;159;142
8;05944;GYO;Bakonyszentlászló;község;866;868
8;06196;GYO;Barbacs;község;404;386
8;29805;GYO;Bezenye;község;766;831
8;10560;GYO;Bezi;község;270;258
8;06220;GYO;Bodonhely;község;176;167
8;04367;GYO;Bogyoszló;község;310;304
8;33950;GYO;Bőny;község;1 125;1 139
8;06619;GYO;Börcs;község;702;710
8;27085;GYO;Cakóháza;község;26;30
8;15954;GYO;Cirák;község;259;285
8;10047;GYO;Csáfordjánosfa;község;121;127
8;08563;GYO;Csapod;község;323;281
8;30191;GYO;Csér;község;17;16
8;13505;GYO;Csikvánd;község;255;250
8;21865;GYO;Darnózseli;község;809;818
8;32595;GYO;Dénesfa;község;221;204
8;21917;GYO;Dör;község;297;312
8;27739;GYO;Dunakiliti;község;1 155;1 154
8;02079;GYO;Dunaremete;község;138;138
8;21078;GYO;Dunaszeg;község;1 241;1 196
8;15875;GYO;Dunaszentpál;község;396;365
8;10454;GYO;Dunasziget;község;950;926
8;26347;GYO;Ebergőc;község;78;75
8;16708;GYO;Écs;község;1 097;1 131
8;22442;GYO;Edve;község;61;61
8;20288;GYO;Egyed;község;256;260
8;15237;GYO;Egyházasfalu;község;452;434
8;15033;GYO;Enese;község;899;939
8;33996;GYO;Farád;község;970;957
8;06956;GYO;Fehértó;község;250;249
8;32717;GYO;Feketeerdő;község;371;355
8;33251;GYO;Felpéc;község;493;502
8;30678;GYO;Fenyőfő;község;55;44
8;11253;GYO;Fertőboz;község;150;151
8;09487;GYO;Fertőendréd;község;310;322
8;10658;GYO;Fertőhomok;község;452;474
8;12414;GYO;Fertőrákos;község;1 188;1 243
8;31440;GYO;Fertőszéplak;község;684;683
8;02060;GYO;Gönyű;község;1 728;1 653
8;17969;GYO;Gyalóka;község;40;45
8;26860;GYO;Gyarmat;község;693;722
8;23843;GYO;Gyóró;község;184;203
8;20400;GYO;Gyömöre;község;630;615
8;08721;GYO;Győrasszonyfa;község;250;261
8;13198;GYO;Győrladamér;község;904;972
8;31316;GYO;Győrság;község;788;791
8;19309;GYO;Győrsövényház;község;410;384
8;15653;GYO;Győrszemere;község;1 786;1 797
8;07481;GYO;Győrújbarát;község;3 958;4 025
8;31787;GYO;Győrújfalu;község;1 218;1 260
8;15228;GYO;Győrzámoly;község;1 880;1 883
8;26790;GYO;Halászi;község;1 613;1 672
8;07649;GYO;Harka;község;1 519;1 486
8;12308;GYO;Hédervár;község;682;647
8;18403;GYO;Hegykő;község;842;829
8;23375;GYO;Hidegség;község;249;228
8;04020;GYO;Himod;község;345;338
8;10029;GYO;Hövej;község;203;180
8;20604;GYO;Ikrény;község;987;998
8;31635;GYO;Iván;község;649;601
8;06646;GYO;Jobaháza;község;261;280
8;12113;GYO;Kajárpéc;község;690;626
8;34351;GYO;Károlyháza;község;308;267
8;14748;GYO;Kimle;község;1 157;1 186
8;02413;GYO;Kisbabot;község;120;122
8;22886;GYO;Kisbajcs;község;491;477
8;07816;GYO;Kisbodak;község;192;196
8;33695;GYO;Kisfalud;község;363;355
8;11262;GYO;Kóny;község;1 374;1 370
8;06895;GYO;Kópháza;község;1 004;1 091
8;24633;GYO;Koroncó;község;1 318;1 303
8;31626;GYO;Kunsziget;község;689;696
8;04376;GYO;Lázi;község;284;247
8;19239;GYO;Levél;község;1 176;1 153
8;16221;GYO;Lipót;község;429;426
8;31194;GYO;Lövő;község;721;706
8;26444;GYO;Maglóca;község;73;59
8;13912;GYO;Magyarkeresztúr;község;222;231
8;12283;GYO;Máriakálnok;község;1 090;1 091
8;06770;GYO;Markotabödöge;község;248;251
8;27359;GYO;Mecsér;község;321;339
8;20385;GYO;Mérges;község;56;57
8;12812;GYO;Mezőörs;község;458;502
8;21980;GYO;Mihályi;község;569;532
8;02556;GYO;Mórichida;község;413;434
8;33677;GYO;Mosonszentmiklós;község;1 316;1 313
8;28149;GYO;Mosonszolnok;község;937;919
8;34412;GYO;Mosonudvar;község;230;204
8;02361;GYO;Nagybajcs;község;561;576
8;32939;GYO;Nagylózs;község;468;551
8;33543;GYO;Nagyszentjános;község;993;941
8;29328;GYO;Nemeskér;község;96;101
8;19752;GYO;Nyalka;község;248;274
8;12955;GYO;Nyúl;község;2 276;2 301
8;15121;GYO;Osli;község;455;468
8;02635;GYO;Öttevény;község;1 527;1 625
8;19637;GYO;Páli;község;276;191
8;23481;GYO;Pásztori;község;204;198
8;12715;GYO;Pázmándfalu;község;587;578
8;15529;GYO;Pér;község;1 313;1 352
8;23773;GYO;Pereszteg;község;754;757
8;22831;GYO;Petőháza;község;530;556
8;14687;GYO;Pinnye;község;188;155
8;27304;GYO;Potyond;község;52;49
8;31370;GYO;Pusztacsalád;község;160;135
8;12964;GYO;Püski;község;345;304
8;04792;GYO;Rábacsanak;község;264;264
8;33701;GYO;Rábacsécsény;község;302;313
8;14793;GYO;Rábakecöl;község;346;361
8;25335;GYO;Rábapatona;község;1 321;1 356
8;24721;GYO;Rábapordány;község;496;487
8;20136;GYO;Rábasebes;község;45;37
8;15273;GYO;Rábaszentandrás;község;234;230
8;33710;GYO;Rábaszentmihály;község;251;243
8;17297;GYO;Rábaszentmiklós;község;76;74
8;15422;GYO;Rábatamási;község;522;482
8;03753;GYO;Rábcakapi;község;81;89
8;26587;GYO;Rajka;község;3 223;3 455
8;21801;GYO;Ravazd;község;608;674
8;14438;GYO;Répceszemere;község;156;141
8;07746;GYO;Répcevis;község;168;166
8;33969;GYO;Rétalap;község;305;289
